,ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T1 (6.0MW),ATB T1 (6.0MW),ATB T1 (6.0MW),SG 5.2-165,SG 5.2-165,SG 5.2-165,SG 7.0-170,SG 7.0-170,SG 7.0-170,V150-4.5,V150-4.5,V150-4.5
,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid
Component / Parameter Hierarchy,,,,,,,,,,,,,,,
SYSTEM COST,4069365.809744369,,4024035.5068003577,6095964.3395305835,,6134107.123109417,5471442.938959934,,5466071.796513187,6574159.393503385,,6572721.288965147,4518722.202304637,,4413733.311802578
    BOS_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    transport_cost,504249.4819524247,,514405.0784366265,839523.841940677,,860623.883720539,725874.5401442989,,710576.0527134885,884590.7074380963,,905690.7492179582,532973.6968131935,,544205.706891672
        nacelle_drivetrain_transport_cost,90000.0,,90000.0,135000.0,,135000.0,90000.0,,90000.0,135000.0,,135000.0,90000.0,,90000.0
        nacelle_power_electronics_cost,2699.999999999998,2699.999999999998,2699.999999999998,27000.0,27000.0,27000.0,19800.0,19800.0,19800.0,36000.0,36000.0,36000.0,13500.0,13500.0,13500.0
        blade_transport_cost,72375.3052,72375.3052,72375.3052,141527.1825,141527.1825,141527.1825,123181.68625,123181.68625,123181.68625,141527.1825,141527.1825,141527.1825,77465.31250000003,77465.31250000003,77465.31250000003
        tower_transport_cost,136332.0,136332.0,136332.0,170415.0,170415.0,170415.0,170415.0,136332.0,136332.0,204498.0,204498.0,204498.0,136332.0,136332.0,136332.0
        hub_transport_cost,46066.72687979818,56222.32336399998,56222.32336399998,64534.17713013801,85634.21890999998,85634.21890999998,60165.18462581049,78949.697195,78949.697195,64534.17713013801,85634.21890999998,85634.21890999998,47664.12197152154,58896.13205,58896.13205
        parts_shipped_loose_cost,12024.83947262652,,12024.83947262652,17993.117310539063,,17993.117310539063,15949.296768488444,,15949.296768488444,19976.982807958302,,19976.982807958302,13081.63734167182,,13081.63734167182
    turbine_cost,3565116.327791944,,3509630.428363731,5256440.497589907,,5273483.2393888775,4745568.398815635,,4755495.743799699,5689568.686065288,,5667030.539747189,3985748.5054914434,,3869527.604910906
        rotor_cost,1330951.8316048102,1545237.4325569533,1545237.4325569533,1721239.738249745,2166455.8454421354,2166455.8454421354,1628911.9751305534,2025269.842513685,2025269.842513685,1721239.738249745,2166455.8454421354,2166455.8454421354,1364713.6393523137,1601711.8337283335,1601711.8337283335
            blade_cost,296291.0821238785,341526.9399359999,341526.9399359999,378550.2537024603,472535.72183999995,472535.72183999995,359089.5431459285,442760.99868,442760.99868,378550.2537024603,472535.72183999995,472535.72183999995,303406.32516759203,353436.8292,353436.8292
            hub_cost,174894.97643568448,218145.63074260313,218145.63074260313,253544.15356183174,343405.0114939079,343405.0114939079,234937.4882844017,314936.970414066,314936.970414066,253544.15356183174,343405.0114939079,343405.0114939079,181697.96265231594,229532.84717454,229532.84717454
            pitch_system_cost,260531.2033286901,295858.5765375502,295858.5765375502,324772.2853985325,398171.13024622755,398171.13024622755,309574.25847936614,374918.27713061904,374918.27713061904,324772.2853985325,398171.13024622755,398171.13024622755,266087.9200272216,305159.71778379363,305159.71778379363
            nose_cone_cost,6652.4054688,6652.4054688,6652.4054688,7272.538182,7272.538182,7272.538182,7131.598929,7131.598929,7131.598929,7272.538182,7272.538182,7272.538182,6708.78117,6708.78117,6708.78117
